time_since_prelaunched,liked_count,timestamp
1d - 3h - 46m,60,2024-05-31 20:20:00
1d - 3h - 56m,61,2024-05-31 20:30:00
1d - 4h - 6m,61,2024-05-31 20:40:00
1d - 4h - 16m,61,2024-05-31 20:50:00
1d - 4h - 26m,62,2024-05-31 21:00:00
1d - 4h - 36m,62,2024-05-31 21:10:00
1d - 4h - 46m,62,2024-05-31 21:20:00
1d - 4h - 56m,62,2024-05-31 21:30:00
1d - 5h - 6m,63,2024-05-31 21:40:00
1d - 5h - 16m,64,2024-05-31 21:50:00
1d - 5h - 26m,66,2024-05-31 22:00:00
1d - 5h - 36m,66,2024-05-31 22:10:00
1d - 5h - 46m,67,2024-05-31 22:20:00
1d - 5h - 56m,67,2024-05-31 22:30:00
1d - 6h - 6m,67,2024-05-31 22:40:00
1d - 6h - 16m,67,2024-05-31 22:50:00
1d - 6h - 26m,67,2024-05-31 23:00:00
1d - 6h - 36m,67,2024-05-31 23:10:00
1d - 6h - 46m,67,2024-05-31 23:20:00
1d - 6h - 56m,67,2024-05-31 23:30:00
1d - 7h - 6m,67,2024-05-31 23:40:00
1d - 7h - 16m,67,2024-05-31 23:50:00
1d - 7h - 26m,67,2024-06-01 00:00:00
1d - 7h - 36m,67,2024-06-01 00:10:00
1d - 7h - 46m,67,2024-06-01 00:20:00
1d - 7h - 56m,67,2024-06-01 00:30:00
1d - 8h - 6m,67,2024-06-01 00:40:00
1d - 8h - 16m,67,2024-06-01 00:50:00
1d - 8h - 26m,68,2024-06-01 01:00:00
1d - 8h - 36m,68,2024-06-01 01:10:00
1d - 8h - 46m,68,2024-06-01 01:20:00
1d - 8h - 56m,68,2024-06-01 01:30:00
1d - 9h - 6m,68,2024-06-01 01:40:00
1d - 9h - 16m,68,2024-06-01 01:50:00
1d - 9h - 26m,68,2024-06-01 02:00:00
1d - 9h - 36m,68,2024-06-01 02:10:00
1d - 9h - 46m,68,2024-06-01 02:20:00
1d - 9h - 56m,68,2024-06-01 02:30:00
1d - 10h - 6m,68,2024-06-01 02:40:00
1d - 10h - 16m,68,2024-06-01 02:50:00
1d - 10h - 26m,68,2024-06-01 03:00:00
1d - 10h - 36m,69,2024-06-01 03:10:00
1d - 10h - 46m,69,2024-06-01 03:20:00
1d - 10h - 56m,69,2024-06-01 03:30:00
1d - 11h - 6m,69,2024-06-01 03:40:00
1d - 11h - 16m,69,2024-06-01 03:50:00
1d - 11h - 26m,69,2024-06-01 04:00:00
1d - 11h - 36m,69,2024-06-01 04:10:00
1d - 11h - 46m,69,2024-06-01 04:20:00
1d - 11h - 56m,69,2024-06-01 04:30:00
1d - 12h - 6m,70,2024-06-01 04:40:00
1d - 12h - 16m,70,2024-06-01 04:50:00
1d - 12h - 26m,70,2024-06-01 05:00:00
1d - 12h - 36m,70,2024-06-01 05:10:00
1d - 12h - 46m,70,2024-06-01 05:20:00
1d - 12h - 56m,70,2024-06-01 05:30:00
